movieCd,link,imgurl,rate,감독,연도,제목,비고
20196601,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182360,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182360_P11_140223.jpg,8.59,"['조민호', '조민호|']","['2019', '2019']","['항거:유관순 이야기', '항거:유관순 이야기']",동명영화 없음
20182530,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167651,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167651_P106_141030.jpg,8.53,"['이병헌', '이병헌']","['2019', '2018']","['극한직업', '극한직업']",fit
20185881,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177374,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177374_P100_112832.jpg,9.07,"['이한', '이한']","['2019', '2018']","['증인', '증인']",fit
20177539,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167099,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167099_P13_101134.jpg,7.20,"['장재현', '장재현|']","['2019', '2019']","['사바하', '사바하']",동명영화 없음
20196723,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182206,https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182206_P12_121114.jpg,8.63,"['아르나드 부롱', '아르나드 부롱|안톤 크링스|']","['2019', '2017']","['숲속왕국의 꿀벌 여왕', '숲속왕국의 꿀벌 여왕']",동명영화 없음
20180937,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148909,https://ssl.pstatic.net/imgmovie/mdi/mit110/1489/148909_P29_164758.jpg,8.77,"['요르고스 란티모스', '요르고스 란티모스|']","['2019', '2018']","['더 페이버릿: 여왕의 여자', '더 페이버릿: 여왕의 여자']",동명영화 없음
20177282,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170953,https://ssl.pstatic.net/imgmovie/mdi/mit110/1709/170953_P08_140411.jpg,8.10,"['라파엘 리바스', '라파엘 리바스']","['2019', '2017']","['리노', '리노']",fit
20176442,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159070,https://ssl.pstatic.net/imgmovie/mdi/mit110/1590/159070_P13_114738.jpg,3.84,"['김유성', '김유성|']","['2019', '2018']","['자전차왕 엄복동', '자전차왕 엄복동']",동명영화 없음
20195743,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181959,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181959_P11_114544.jpg,6.37,"['린 사우더랜드', '린 사우더랜드|']","['2019', '2018']","['신데렐라:마법 반지의 비밀', '신데렐라:마법 반지의 비밀']",동명영화 없음
20195791,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167629,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167629_P17_105046.jpg,4.50,"['박수진', '박호찬|박수진|']","['2019', '2018']","['어쩌다, 결혼', '어쩌다, 결혼']",동명영화 없음
20186261,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109193,https://ssl.pstatic.net/imgmovie/mdi/mit110/1091/109193_P21_103935.jpg,9.24,"['딘 데블로이스', '딘 데블로이스|']","['2019', '2019']","['드래곤 길들이기 3', '드래곤 길들이기 3']",동명영화 없음
20188282,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66728,https://ssl.pstatic.net/imgmovie/mdi/mit110/0667/66728_P38_102726.jpg,8.71,"['로버트 로드리게즈', '로버트 로드리게즈|']","['2019', '2018']","['알리타: 배틀 엔젤', '알리타: 배틀 엔젤']",동명영화 없음
20195915,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181411,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181411_P02_101349.jpg,7.39,"['크리스토퍼 랜던', '크리스토퍼 랜던|']","['2019', '2019']","['해피 데스데이 2 유', '해피 데스데이 2 유']",동명영화 없음
20020222,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33930,https://ssl.pstatic.net/imgmovie/mdi/mit110/0339/C3930-06.jpg,8.86,"['크리스 콜럼버스', '크리스 콜럼버스|']","['2002', '2002']","['해리포터와 비밀의 방', '해리 포터와 비밀의 방']",동명영화 없음
20185576,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181409,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181409_P30_100656.jpg,6.58,"['한스 페터 몰란트', '한스 페터 몰란트|']","['2019', '2019']","['콜드 체이싱', '콜드 체이싱']",동명영화 없음
20184888,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151151,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151151_P24_105029.jpg,8.18,"['롭 마샬', '롭 마샬|']","['2019', '2018']","['메리 포핀스 리턴즈', '메리 포핀스 리턴즈']",동명영화 없음
20174169,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169078,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169078_P66_101231.jpg,5.89,"['이민재', '이민재|']","['2019', '2018']","['기묘한 가족', '기묘한 가족']",동명영화 없음
20180868,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164173,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164173_P45_171744.jpg,6.08,"['한준희', '한준희|']","['2019', '2018']","['뺑반', '뺑반']",동명영화 없음
20162003,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48233,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/48233_P05_140218.jpg,8.29,"['야마모토 야스이치로', '야마모토 야스이치로|']","['2019', '2008']","['명탐정 코난:전율의 악보', '명탐정 코난:전율의 악보']",동명영화 없음
20185478,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181554,https://ssl.pstatic.net/imgmovie/mdi/mit110/1815/181554_P23_112202.jpg,8.75,"['김진철', '최신규|김진철|']","['2019', '2019']","['극장판 헬로카봇: 옴파로스 섬의 비밀', '극장판 헬로카봇:옴파로스 섬의 비밀']",동명영화 없음
